,,,LLEGADA_RELOJ,,,FIN_CONTROL_RELOJ,,,,,,,RESULTADO_DE_CONTROL,,EMPLEADO_1,,EMPLEADO_2,,EMPLEADO_3,,,,,,,Reloj_0,,Reloj_1,,Reloj_2,,Reloj_3,,Reloj_4,,Reloj_5,,Reloj_6,,Reloj_7,,Reloj_8,,Reloj_9,,Reloj_10,,Reloj_11,,Reloj_12,,Reloj_13,,Reloj_14,,Reloj_15,,Reloj_16,,Reloj_17,,Reloj_18,,Reloj_19,,Reloj_20,,Reloj_21,,Reloj_22,,Reloj_23,,Reloj_24,,Reloj_25,,Reloj_26,,Reloj_27,,Reloj_28,,Reloj_29,,Reloj_30,,Reloj_31,,Reloj_32,,Reloj_33,,Reloj_34,,Reloj_35,,Reloj_36,,Reloj_37,,Reloj_38,,Reloj_39,,Reloj_40,,Reloj_41,,Reloj_42,,Reloj_43,,Reloj_44,,Reloj_45,,Reloj_46,,Reloj_47,,Reloj_48,,Reloj_49,,Reloj_50,,Reloj_51,,Reloj_52,,Reloj_53,,Reloj_54,,Reloj_55,,Reloj_56,,Reloj_57,,Reloj_58,,Reloj_59,,Reloj_60,,Reloj_61,,Reloj_62,,Reloj_63,,Reloj_64,,Reloj_65,,Reloj_66,,Reloj_67,,Reloj_68,,Reloj_69,,Reloj_70,
20,FinControlReloj_6,10.57,,,11.42,0.55,0.6,4.18,4.35,4.53,6.28,5.25,0.97,Fallado,Ocupado,10.41,Ocupado,9.88,Ocupado,9.86,4,29.139999668598172,13,6,38.78,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,Siendo_Controlado_Emp2,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,LlegadaReloj,11.42,0.48,0.39,11.81,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,11.26,Ocupado,10.73,Ocupado,10.71,5,32.5400008893013,14,6,38.78,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,Siendo_Controlado_Emp2,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,LlegadaReloj,11.81,0.57,0.5,12.31,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,11.64,Ocupado,11.11,Ocupado,11.09,6,34.490000507831574,15,6,38.78,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,Siendo_Controlado_Emp2,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,LlegadaReloj,12.31,0.16,0.1,12.41,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,12.13,Ocupado,11.6,Ocupado,11.58,7,37.489997990131386,16,6,38.78,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,Siendo_Controlado_Emp2,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,LlegadaReloj,12.41,0.32,0.23,12.64,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,12.22,Ocupado,11.69,Ocupado,11.67,8,38.189995052814496,17,6,38.78,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,Siendo_Controlado_Emp2,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,LlegadaReloj,12.64,0.8,0.96,13.6,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,12.45,Ocupado,11.92,Ocupado,11.9,9,40.029996273517625,18,6,38.78,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,Siendo_Controlado_Emp2,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,LlegadaReloj,13.6,0.41,0.31,13.91,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,13.4,Ocupado,12.87,Ocupado,12.85,10,48.66999318361284,19,6,38.78,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,Siendo_Controlado_Emp2,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,LlegadaReloj,13.91,0.51,0.42,14.33,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,13.7,Ocupado,13.17,Ocupado,13.15,11,51.769989368915574,20,6,38.78,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,Siendo_Controlado_Emp1,6.69,Siendo_Controlado_Emp2,7.03,En_Cola,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,FinControlReloj_8,14.21,,,14.33,0.55,0.6,4.18,4.35,4.53,6.28,5.25,0.28,OK,Ocupado,14,Ocupado,13.47,Ocupado,13.45,10,55.06999104738238,20,7,46.300000000000004,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,OK,6.69,Siendo_Controlado_Emp2,7.03,Siendo_Controlado_Emp1,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,LlegadaReloj,14.33,0.35,0.25,14.58,0.55,0.6,4.18,4.35,4.53,6.28,5.25,,,Ocupado,14.11,Ocupado,13.58,Ocupado,13.56,11,56.26999066591266,21,7,46.300000000000004,Fallado,0.08,OK,0.61,OK,0.64,OK,0.92,OK,2.01,Fallado,3.8,Siendo_Controlado_Emp3,5.18,OK,6.69,Siendo_Controlado_Emp2,7.03,Siendo_Controlado_Emp1,7.1,En_Cola,8.05,En_Cola,9.37,En_Cola,9.83,En_Cola,11.42,En_Cola,11.81,En_Cola,12.31,En_Cola,12.41,En_Cola,12.64,En_Cola,13.6,En_Cola,13.91,En_Cola,14.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
